pf_id,pf_name,type,pipeline_config_exists,monthly_returns_months,latest_signal,fof_components_valid,config_pydantic_valid,overall_status
a78887bf-25ae-4525-81af-cd4c630b3d36,Ave-X,fof,N/A(FoF),OK(169m:2012-03~2026-03),OK(2026-03-18),OK(6components),OK,OK
f466a8d3-b6b3-482b-90ca-9b09e8b6165d,bam-2,fof,N/A(FoF),OK(162m:2012-10~2026-03),OK(2026-03-18),OK(7components),OK,OK
87fb78ca-74fe-4e94-9f9b-932aeb87b8eb,bam-6,fof,N/A(FoF),OK(178m:2011-06~2026-03),OK(2026-03-18),OK(7components),OK,OK
f8d70415-24f2-4b1a-a603-d0e86155255a,DM2,standard,OK,OK(181m:2011-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
8db65bd3-8fa8-44bb-b6be-f03b44bf608c,DM2-20%,standard,OK,OK(181m:2011-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
cd55a4f2-4e85-43ae-984c-a228e0c9b7c4,DM2-40%,standard,OK,OK(181m:2011-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
e4787792-eded-4bcf-8104-13329191212d,DM2-60%,standard,OK,OK(175m:2011-09~2026-03),OK(2026-03-18),N/A(standard),OK,OK
f051635a-2f9a-41f2-9056-238703af4384,DM2-80%,standard,OK,OK(187m:2010-09~2026-03),OK(2026-03-18),N/A(standard),OK,OK
c7477396-07f1-445b-bdbe-15eff37e77a9,DM2-test,standard,OK,OK(181m:2011-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
694f7964-ccf2-4496-adcf-26e3c89aa4b4,DM2-top,standard,OK,OK(181m:2011-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
c55a7f68-6569-4abb-8df5-9acf3dc8e061,DM3,standard,OK,OK(193m:2010-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
10ff2500-b3d2-479b-9b69-efd9d3949ee7,DM4,standard,OK,OK(193m:2010-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
9f919ebd-81ef-497f-9f88-7cb4a2ff665a,DM5,standard,OK,OK(193m:2010-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
fb4e8f08-3c08-4c54-a0ca-c87c74b72e27,DM5-006,standard,OK,OK(188m:2010-08~2026-03),OK(2026-03-18),N/A(standard),OK,OK
212e9eee-6acc-4f25-8a41-ea9fdf34a4e1,DM6,standard,OK,OK(193m:2010-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
f0d3f891-c55c-412c-97c9-28c135a4b4a2,DM6-20%,standard,OK,OK(188m:2010-08~2026-03),OK(2026-03-18),N/A(standard),OK,OK
64f8bdd8-51a9-4cde-b9ed-6834ccea00c7,DM6-40%,standard,OK,OK(188m:2010-08~2026-03),OK(2026-03-18),N/A(standard),OK,OK
5c006db6-7c1e-45b8-82ce-e1f98c891895,DM6-5,standard,OK,OK(189m:2010-07~2026-03),OK(2026-03-18),N/A(standard),OK,OK
142bdae7-a6fa-4f75-823e-86bca89552b6,DM6-60%,standard,OK,OK(188m:2010-08~2026-03),OK(2026-03-18),N/A(standard),OK,OK
4256ae25-9fc8-443a-9a53-5d0fe0ca4faf,DM6-80%,standard,OK,OK(188m:2010-08~2026-03),OK(2026-03-18),N/A(standard),OK,OK
0290ea4d-d332-4a00-9e95-1e219d485a43,DM6-Top,standard,OK,OK(188m:2010-08~2026-03),OK(2026-03-18),N/A(standard),OK,OK
8650d48d-c60d-46de-b827-c4d38f276e37,DM7+,standard,OK,OK(169m:2012-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
45eb0c3a-a256-48f3-b3e3-d2a9d5c3bbfa,DM-safe,standard,OK,OK(231m:2007-01~2026-03),OK(2026-03-18),N/A(standard),OK,OK
fc5dc444-f14a-43d3-85c9-263c3220b658,DM-safe-2,standard,OK,OK(225m:2007-07~2026-03),OK(2026-03-18),N/A(standard),OK,OK
9bd4ba4a-6310-45d8-b82c-c79528a19c10,L0-Be_GLD_18M_7M_1M_w60_30_10_T1,standard,OK,OK(175m:2011-09~2026-03),OK(2026-03-18),N/A(standard),OK,OK
bc34fadf-817f-428c-9ce2-fdf34a31009c,L0-Be_TMV_5M_2M_10D_w70_20_10_T1,standard,OK,OK(189m:2010-07~2026-03),OK(2026-03-18),N/A(standard),OK,OK
92188d0c-5232-4f96-8c2e-0c8ac734738b,L0-Be_XLU_11M_9M_10D_w80_10_10_T1,standard,OK,OK(182m:2011-02~2026-03),OK(2026-03-18),N/A(standard),OK,OK
20f09aec-9c28-4152-8e63-1dc9fa57af10,L0-Bo_TMV_18M_4M_3M_w40_30_30_T1,standard,OK,OK(175m:2011-09~2026-03),OK(2026-03-18),N/A(standard),OK,OK
84a8ba93-fb82-4923-ace7-b224dfbf3de3,L0-Bo_XLU_6M_2M_15D_w50_30_20_T2,standard,OK,OK(188m:2010-08~2026-03),OK(2026-03-18),N/A(standard),OK,OK
57cb4e96-ce9c-4ee3-af45-397e1c2e8eb1,L0-M_SPXL_QQQ_15M_T1,standard,OK,OK(178m:2011-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
196c60c6-2be3-4236-82f8-0575d9a0767d,L0-M_TECL_SPY_15M_T1,standard,OK,OK(178m:2011-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
28d056c6-6477-453c-b9dd-5cc9de0c2299,L0-M_TECL_SPY_18M_T1,standard,OK,OK(175m:2011-09~2026-03),OK(2026-03-18),N/A(standard),OK,OK
f76378a1-7476-4a8e-88e6-a97c09d9f090,L0-M_TMV_4M_10D_w50_50_T1,standard,OK,OK(190m:2010-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
c4f349a6-ac63-4029-8123-d6bfbe53538b,L0-M_TMV_4M_1M_15D_w60_30_10_T1,standard,OK,OK(190m:2010-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
be9cf632-abb6-46b1-bab4-31b999f2b215,L0-M_TMV_4M_3M_20D_w50_40_10_T1,standard,OK,OK(190m:2010-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
5d448361-f079-4d5d-8fe2-78ae6c91a5a2,L0-M_XLU_6M_3M_10D_w50_40_10_T1,standard,OK,OK(188m:2010-08~2026-03),OK(2026-03-18),N/A(standard),OK,OK
33e162ed-e5e0-4fa8-9130-7b3b3751ef62,L0-Qj_GLD_10D_T1,standard,OK,OK(193m:2010-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
4f3ae0a0-17a7-41aa-a3ac-454fc4873000,L0-Qj_GLD_4M_1M_10D_w60_30_10_T2,standard,OK,OK(190m:2010-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
7bff9d0b-adcb-4518-9e8c-b4f85fe235ec,L0-Qj_GLD_4M_1M_w50_50_T1,standard,OK,OK(190m:2010-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
645bbbb5-bfea-4254-badd-f5d3630a8406,L0-Qj_GLD_5M_2M_15D_w40_40_20_T1,standard,OK,OK(189m:2010-07~2026-03),OK(2026-03-18),N/A(standard),OK,OK
49cd6434-158e-4446-9301-42f67fe02614,L0-Qj_SPXL_GLD_24M_T1,standard,OK,OK(169m:2012-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
01147e6a-c74d-4e5b-bc2b-133bc466731c,L0-Qj_SPXL_QQQ_12M_T1,standard,OK,OK(181m:2011-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
3e51f28d-46f8-401f-9b1a-c4f4ad124d99,L0-Qj_SPXL_SPY_18M_T1,standard,OK,OK(175m:2011-09~2026-03),OK(2026-03-18),N/A(standard),OK,OK
15c6f599-39ec-4a83-9273-dc6341b1c2f0,L0-Qj_TECL_XLU_12M_T1,standard,OK,OK(181m:2011-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
80b287d7-42ab-4132-b105-f967d833f6ed,L0-Qj_TMV_3M_15D_w50_50_T1,standard,OK,OK(191m:2010-05~2026-03),OK(2026-03-18),N/A(standard),OK,OK
90c7ebb8-0ac8-40cc-bf97-c90c39bb6606,L0-Qj_XLU_11M_5M_1M_w50_30_20_T1,standard,OK,OK(182m:2011-02~2026-03),OK(2026-03-18),N/A(standard),OK,OK
b07e0564-8a7a-418f-b366-3658bee63d44,L0-Qj_XLU_15M_3M_15D_w50_30_20_T1,standard,OK,OK(178m:2011-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
140348f9-4024-4dbb-82f4-a6c54281cbdf,L0-Qj_XLU_15M_3M_w70_30_T1,standard,OK,OK(178m:2011-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
c3aee715-a446-4201-9bb5-a38592520563,L0-Qj_XLU_15M_3M_w70_30_T2,standard,OK,OK(178m:2011-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
fd278241-ecda-4743-91fc-79e537e6bf2a,L0-Qj_XLU_15M_4M_3M_w70_20_10_T2,standard,OK,OK(178m:2011-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
7d81eab8-7b19-4095-b506-5a147804e063,L0-Qj_XLU_4M_1M_w50_50_T2,standard,OK,OK(190m:2010-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
b6bc3e11-0a5b-4698-983f-d1ff1a80fa95,L0-Qm_GLD_2M_15D_w70_30_T2,standard,OK,OK(192m:2010-04~2026-03),OK(2026-03-18),N/A(standard),OK,OK
2df2d31b-3718-4b61-aa4e-38d24d356ca4,L0-Qm_SPXL_SPY_24M_T1,standard,OK,OK(169m:2012-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
90a042c2-97b4-4b3d-b45d-b5728fd8c275,L0-Qm_SPXL_XLU_15M_T1,standard,OK,OK(178m:2011-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
899b3d8e-f5c6-43ef-ae5e-134e78952ee1,MIX1,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(8components),OK,OK
f0d925a8-49de-4c5a-bee7-f81f80615a35,MIX2,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(8components),OK,OK
89011aa6-f245-4f32-855f-4f19f08bb041,MIX3,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(8components),OK,OK
a6b4b39c-0def-4d25-985e-d83a1638e1fb,MIX4,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(8components),OK,OK
c3f1d295-cead-4cfa-ad5f-6b3fa0002d1c,シン分身-常勝,fof,N/A(FoF),OK(178m:2011-06~2026-03),OK(2026-03-18),OK(4components),OK,OK
f9e02193-89e5-4137-a9a1-f5323fcfbd1a,シン分身-激攻,fof,N/A(FoF),OK(182m:2011-02~2026-03),OK(2026-03-18),OK(3components),OK,OK
3b1b5825-8fad-4912-b593-c1e3f71b8ad4,シン分身-鉄壁,fof,N/A(FoF),OK(169m:2012-03~2026-03),OK(2026-03-18),OK(2components),OK,OK
eaf70e34-da99-44b9-be0c-761b61ccf2dc,シン加速D-常勝,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(4components),OK,OK
f16d063c-00b6-4301-9f2a-7a3e1530381a,シン加速D-激攻,fof,N/A(FoF),OK(171m:2012-01~2026-03),OK(2026-03-18),OK(3components),OK,OK
998ac4f1-70ab-48d5-8c56-c8dbf3ecd168,シン加速D-鉄壁,fof,N/A(FoF),OK(161m:2012-11~2026-03),OK(2026-03-18),OK(2components),OK,OK
865b906d-0cfb-4b5e-b778-8c4afbd2ea16,シン加速R-常勝,fof,N/A(FoF),OK(141m:2014-07~2026-03),OK(2026-03-18),OK(3components),OK,OK
e55f9a48-a197-4ca6-8cb0-dd6b0091429c,シン加速R-激攻,fof,N/A(FoF),OK(144m:2014-04~2026-03),OK(2026-03-18),OK(4components),OK,OK
1b5e6e47-a477-4774-a1d9-1a5b006d5e9d,シン加速R-鉄壁,fof,N/A(FoF),OK(157m:2013-03~2026-03),OK(2026-03-18),OK(4components),OK,OK
5fb122b3-5dbc-4cde-9f0a-96ddcd95037c,シン四つ目-常勝,fof,N/A(FoF),OK(176m:2011-08~2026-03),OK(2026-03-18),OK(3components),OK,OK
e4dd40ef-8640-45d9-a1d9-9a88ed44be5a,シン四つ目-激攻,fof,N/A(FoF),OK(162m:2012-10~2026-03),OK(2026-03-18),OK(4components),OK,OK
37fed953-6089-4226-ad28-d4769b55c039,シン四つ目-鉄壁,fof,N/A(FoF),OK(156m:2013-04~2026-03),OK(2026-03-18),OK(2components),OK,OK
fb6272c8-74f7-48e6-a709-fca6d2ab1987,シン変わり身-常勝,fof,N/A(FoF),OK(131m:2015-05~2026-03),OK(2026-03-18),OK(4components),OK,OK
84009fe4-325e-470d-a8da-d14f9cc5ced8,シン変わり身-激攻,fof,N/A(FoF),OK(170m:2012-02~2026-03),OK(2026-03-18),OK(4components),OK,OK
b9b9f8bc-70bd-4baf-8105-f3d0ffd656b4,シン変わり身-鉄壁,fof,N/A(FoF),OK(177m:2011-07~2026-03),OK(2026-03-18),OK(3components),OK,OK
4fe4cde9-fd75-4cf4-ab6b-3c970c6bbf43,シン抜き身-常勝,fof,N/A(FoF),OK(167m:2012-05~2026-03),OK(2026-03-18),OK(4components),OK,OK
b2f1381a-0158-45b0-aaa2-1ec172dfc232,シン抜き身-激攻,fof,N/A(FoF),OK(171m:2012-01~2026-03),OK(2026-03-18),OK(4components),OK,OK
57937717-e9a1-401d-8841-f364cbc536f1,シン抜き身-鉄壁,fof,N/A(FoF),OK(163m:2012-09~2026-03),OK(2026-03-18),OK(3components),OK,OK
80b48fc4-34ce-4a0b-89b7-dc90f977bc12,シン朱雀-激攻,standard,OK,OK(193m:2010-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
5fa40ad2-3c57-4648-947b-1ae889d89887,シン朱雀-鉄壁,standard,OK,OK(191m:2010-05~2026-03),OK(2026-03-18),N/A(standard),OK,OK
6e908738-942b-4d2f-9e94-77b0d0c23830,シン玄武-激攻,standard,OK,OK(178m:2011-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
db8ba8f6-36ad-4e68-8616-32e03a8d25c6,シン玄武-鉄壁,standard,OK,OK(169m:2012-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
57f512c8-ccb5-4ba8-82d5-cb750c1f7735,シン白虎-常勝,standard,OK,OK(190m:2010-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
49421d93-ad5c-4b8e-8540-639ab76294d3,シン白虎-激攻,standard,OK,OK(190m:2010-06~2026-03),OK(2026-03-18),N/A(standard),OK,OK
99ec5466-e385-4508-bb83-deec4c6e2392,シン白虎-鉄壁,standard,OK,OK(189m:2010-07~2026-03),OK(2026-03-18),N/A(standard),OK,OK
6600e7d6-547e-48f2-8bfd-b3503fb09442,シン追い風-常勝,fof,N/A(FoF),OK(165m:2012-07~2026-03),OK(2026-03-18),OK(4components),OK,OK
c29a63d0-52c0-4499-85bc-ae24665181e4,シン追い風-激攻,fof,N/A(FoF),OK(153m:2013-07~2026-03),OK(2026-03-18),OK(4components),OK,OK
2ad6f204-f7c0-49fd-a4dc-e61b89dea3cb,シン追い風-鉄壁,fof,N/A(FoF),OK(159m:2013-01~2026-03),OK(2026-03-18),OK(4components),OK,OK
53275a09-4108-4523-9349-9d6a304419ba,シン青龍-常勝,standard,OK,OK(182m:2011-02~2026-03),OK(2026-03-18),N/A(standard),OK,OK
b4ea1b68-be65-4c2c-8524-426cb4b11359,シン青龍-激攻,standard,OK,OK(182m:2011-02~2026-03),OK(2026-03-18),N/A(standard),OK,OK
82dcda5e-85e1-4dc8-8998-5a983156ff79,シン青龍-鉄壁,standard,OK,OK(181m:2011-03~2026-03),OK(2026-03-18),N/A(standard),OK,OK
9a33521c-0217-402e-894f-c3ca62265473,劇薬bam,fof,N/A(FoF),OK(162m:2012-10~2026-03),OK(2026-03-18),OK(3components),OK,OK
1cc66240-692b-4f50-91a7-3b2830afd7bf,劇薬bam_guard,fof,N/A(FoF),OK(162m:2012-10~2026-03),OK(2026-03-18),OK(4components),OK,OK
dd247456-f800-4a71-933a-177ff112e0fa,劇薬bam_solid,fof,N/A(FoF),OK(162m:2012-10~2026-03),OK(2026-03-18),OK(2components),OK,OK
4d1a7ae5-ecff-46c0-babb-2d210b568701,劇薬DMオリジナル,fof,N/A(FoF),OK(169m:2012-03~2026-03),OK(2026-03-18),OK(3components),OK,OK
7be147b9-77b7-44b7-b8ad-feb25d099c89,劇薬DMスムーズ,fof,N/A(FoF),OK(169m:2012-03~2026-03),OK(2026-03-18),OK(4components),OK,OK
876bedb2-110d-42d6-9501-60190b950ca4,加速-常勝,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(3components),OK,OK
38504209-b491-4c1b-a34a-7f860e1502cc,加速-激攻,fof,N/A(FoF),OK(171m:2012-01~2026-03),OK(2026-03-18),OK(4components),OK,OK
2201a479-e66f-4716-b89d-b13491feb3c6,加速-鉄壁,fof,N/A(FoF),OK(158m:2013-02~2026-03),OK(2026-03-18),OK(2components),OK,OK
68ab58b7-5a97-4977-9fb7-925ed89e3e09,四つ目-常勝,fof,N/A(FoF),OK(162m:2012-10~2026-03),OK(2026-03-18),OK(4components),OK,OK
6fcd253f-d5a3-4f87-84ce-60f4314eb1b1,四つ目-激攻,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(4components),OK,OK
171126cc-82a1-41d7-ade2-e9d18603d585,四つ目-鉄壁,fof,N/A(FoF),OK(156m:2013-04~2026-03),OK(2026-03-18),OK(4components),OK,OK
3ee671ee-d1b3-4052-8b8b-1a646120b202,変わり身-常勝,fof,N/A(FoF),OK(144m:2014-04~2026-03),OK(2026-03-18),OK(4components),OK,OK
167a458a-f67e-4122-bc28-b608c81c69ff,変わり身-激攻,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(3components),OK,OK
64da6b89-9982-4166-85ef-61e5e99516da,変わり身-鉄壁,fof,N/A(FoF),OK(144m:2014-04~2026-03),OK(2026-03-18),OK(4components),OK,OK
7e7b5d6f-e85b-4081-a781-46e4fe4a4fca,常勝-朱雀,fof,N/A(FoF),OK(175m:2011-09~2026-03),OK(2026-03-18),OK(3components),OK,OK
fac900e5-8cc8-4314-80a1-d17001705ae5,常勝-玄武,fof,N/A(FoF),OK(175m:2011-09~2026-03),OK(2026-03-18),OK(4components),OK,OK
03bafbe4-9bc2-4289-8ad5-2857fb1a2399,常勝-白虎,fof,N/A(FoF),OK(178m:2011-06~2026-03),OK(2026-03-18),OK(5components),OK,OK
a52d1863-5b91-4e28-bc7b-bb764dadc822,常勝-青龍,fof,N/A(FoF),OK(182m:2011-02~2026-03),OK(2026-03-18),OK(2components),OK,OK
eaa419f2-8336-4b57-9f19-5993fb736253,抜き身-常勝,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(4components),OK,OK
b8b76a9d-8954-4294-b290-16171e870441,抜き身-激攻,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(4components),OK,OK
e518e196-dd4b-40b3-a811-c40bb57b3002,抜き身-鉄壁,fof,N/A(FoF),OK(159m:2013-01~2026-03),OK(2026-03-18),OK(3components),OK,OK
23355e2a-e9bd-408d-8034-1829d5344ced,激攻-朱雀,fof,N/A(FoF),OK(190m:2010-06~2026-03),OK(2026-03-18),OK(2components),OK,OK
556aaf11-9b09-4cfc-9de4-19ddcca6f9de,激攻-玄武,fof,N/A(FoF),OK(181m:2011-03~2026-03),OK(2026-03-18),OK(2components),OK,OK
c627988b-48e7-47b3-8086-5aaae8ea4ab9,激攻-白虎,fof,N/A(FoF),OK(178m:2011-06~2026-03),OK(2026-03-18),OK(2components),OK,OK
2ce96684-fb95-4799-9525-1be6a3aeef2a,激攻-青龍,fof,N/A(FoF),OK(175m:2011-09~2026-03),OK(2026-03-18),OK(3components),OK,OK
c1c80ace-8d1e-463a-860a-d0f40642a3a5,裏Ave-X,fof,N/A(FoF),OK(181m:2011-03~2026-03),OK(2026-03-18),OK(4components),OK,OK
b21a3254-e549-4edd-bac3-b00a89bd52d8,追い風-常勝,fof,N/A(FoF),OK(153m:2013-07~2026-03),OK(2026-03-18),OK(2components),OK,OK
fc8fbed3-2068-4acb-beed-e1d0d8a1574a,追い風-激攻,fof,N/A(FoF),OK(150m:2013-10~2026-03),OK(2026-03-18),OK(4components),OK,OK
f2947429-7159-4300-8f49-0d4f8f83e8a0,追い風-鉄壁,fof,N/A(FoF),OK(156m:2013-04~2026-03),OK(2026-03-18),OK(4components),OK,OK
7322201c-d338-48af-a261-4dfced308041,鉄壁-朱雀,standard,OK,OK(189m:2010-07~2026-03),OK(2026-03-18),N/A(standard),OK,OK
ab368a26-179f-4dc0-8f4f-7295c3c335c1,鉄壁-玄武,fof,N/A(FoF),OK(169m:2012-03~2026-03),OK(2026-03-18),OK(3components),OK,OK
6f681c74-09e7-445f-b9f1-0ed7af7c1500,鉄壁-白虎,fof,N/A(FoF),OK(189m:2010-07~2026-03),OK(2026-03-18),OK(2components),OK,OK
f5a7fb17-2dc7-4ce2-8151-e865cbf747e0,鉄壁-青龍,standard,OK,OK(192m:2010-04~2026-03),OK(2026-03-18),N/A(standard),OK,OK
